프로젝트,모블록번호,블록번호,stage,기능,a2,모듈,취부장_total,취부장_butt,취부장_fillet,용접장_total,용접장_butt,용접장_fillet,작업량,작업량_단위,심출_계량,취부_계량,용접_계량,사상_계량,기타_계량,total_계량,심출_기준,취부_기준,용접_기준,사상_기준,기타_기준,total_기준,원본파일명
SN1409,R87FA,R877R,30,D,HR877RSF0300,JZNZWA,627.3,265.8,361.5,312.3,262.1,50.2,63,EA,47.41,94.82,232.74,43.1,12.93,431,37.93,75.86,186.19,34.48,10.34,344.8,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,30,D,HR877RSF0300,XQDDTO,289.9,94.7,195.2,816.8,444.1,372.7,8,M,37.95,75.9,186.3,34.5,10.35,345,30.36,60.72,149.04,27.6,8.28,276.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,30,D,HR877RSF0300,GFYWIR,830.0,401.2,428.8,328.7,84.3,244.4,98,M,18.7,37.4,91.8,17.0,5.1,170,14.96,29.92,73.44,13.6,4.08,136.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,30,D,HR877RSF0300,WDERP,341.5,101.4,240.1,425.9,269.9,156.0,78,LOT,109.23,218.46,536.22,99.3,29.79,993,87.38,174.77,428.98,79.44,23.83,794.4,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,30,D,HR877RSF0300,PXKFZNC,857.3,435.7,421.6,678.0,352.1,325.9,40,LOT,91.3,182.6,448.2,83.0,24.9,830,73.04,146.08,358.56,66.4,19.92,664.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,40,D,HR877RSF0400,PXKFZNC,224.8,149.2,75.6,330.0,58.4,271.6,29,EA,77.22,154.44,379.08,70.2,21.06,702,61.78,123.55,303.26,56.16,16.85,561.6,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,40,D,HR877RSF0400,WDERP,380.8,78.4,302.4,553.8,141.6,412.2,43,EA,107.8,215.6,529.2,98.0,29.4,980,86.24,172.48,423.36,78.4,23.52,784.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,40,D,HR877RSF0400,JZNZWA,417.1,255.7,161.4,509.9,244.2,265.7,74,LOT,92.4,184.8,453.6,84.0,25.2,840,73.92,147.84,362.88,67.2,20.16,672.0,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,40,D,HR877RSF0400,XQDDTO,386.4,147.2,239.2,300.5,212.8,87.7,56,TON,85.14,170.28,417.96,77.4,23.22,774,68.11,136.22,334.37,61.92,18.58,619.2,SN1409_R87FA_dummy.xlsx
SN1409,R87FA,R877R,40,D,HR877RSF0400,GFYWIR,456.2,219.4,236.8,660.9,341.6,319.3,13,EA,83.71,167.42,410.94,76.1,22.83,761,66.97,133.94,328.75,60.88,18.26,608.8,SN1409_R87FA_dummy.xlsx
